name,link,price,image
"Букет из роз ""Крем-брюле""",/catalog/bukety/buket-iz-roz-krem-bryule/,от 7 500 ₽,/upload/iblock/036/n9pa95bjqb5xaxxmqnvvdw6rh6tr9s1i.jpg
Букет из 101 розы,/catalog/bukety/buket-iz-51-rozy/,от 19 750 ₽,/upload/iblock/079/86a6bqh2kosmx36kb7jsts5ytjrhkx0a.jpg
Букет из 101 красной розы,/catalog/bukety/buket-iz-101-rozy/,от 19 750 ₽,/upload/iblock/9a6/802a2mma6qa3938tp3ncyxchpx0ne88d.jpg
Букет с розовой гортензией,/catalog/bukety/buket-s-rozovoy-gortenziey/,от 1 300 ₽,/upload/iblock/2ff/302p09o0ip3o8uhlwc4bqd9uvv163fk1.jpg
Розы в корзине,/catalog/bukety/rozy-v-korzine/,от 12 500 ₽,/upload/iblock/c40/1u34a8wei3o2flwuivon21d2139m3q6z.jpg
"Цветы в коробке ""Диор""",/catalog/bukety/tsvety-v-korobke-dior/,от 6 250 ₽,/upload/iblock/5ed/l3o585j68qgoj5jzya5a32y4gz1i2alq.jpg
Букет из 51 белой розы,/catalog/bukety/buket-iz-51-beloy-rozy/,от 9 950 ₽,/upload/iblock/b1e/dokwmbtr8i0tnbkjq1mvxaa71gesupph.png
"Букет ""Сливки""",/catalog/bukety/tsvety-v-korzine-s-orkhideey/,от 7 000 ₽,/upload/iblock/b37/xmr3a4cl1bv3f75nkl3g1qqms4g8fwck.jpg
"Букет ""Лайт"" оранжевый",/catalog/bukety/buket-layt-oranzhevyy/,от 2 750 ₽,/upload/iblock/777/cwhtf8ka6j0h3t13pp5xnraakt8sb4lx.jpg
"Букет ""Лайт"" розовый",/catalog/bukety/buket-layt-rozovyy/,от 2 750 ₽,/upload/iblock/b74/zc8r0ifeack815cnvhc396uwu6s93iar.jpg
"Букет ""Лайт""",/catalog/bukety/buket-layt/,от 2 750 ₽,/upload/iblock/342/dma8m353gjbto1mp6lymvkc7y9j1k83o.jpg
Букет невесты из розы и фрезии,/catalog/bukety/buket-nevesty-iz-rozy-i-frezii/,от 5 000 ₽,/upload/iblock/fc5/g1nnewgmcr9z17zx01z3b0o7lbzc8w03.jpg
Букет невесты из диантуса,/catalog/bukety/buket-nevesty-iz-diantusa/,от 3 500 ₽,/upload/iblock/813/kjthhy3cxxifxz2sy9dtb6hxhvrm066y.jpg
"Букет невесты ""Бохо""",/catalog/bukety/buket-nevesty-bokho/,от 5 000 ₽,/upload/iblock/237/vc3fbrid6hgf52887pqbf487upi73p11.jpg
"Букет ""Доминикана""",/catalog/bukety/buket-dominikana/,от 3 500 ₽,/upload/iblock/ef2/szcfhiuzz1cuoynxg1xpjrqhr2yo2hb0.jpg
"Букет ""Десерт""",/catalog/bukety/buket-desert/,от 1 500 ₽,/upload/iblock/d4e/lvlku931izkiyu4zfplui0gi2k1ejkzs.jpg
Сумочка с цветами в ярких тонах,/catalog/bukety/sumochka-s-tsvetami-v-yarkikh-tonakh/,от 1 600 ₽,/upload/iblock/b55/slu1ai1jixyvmne6e6b9jfewrddfdv6e.jpg
Сумочка с цветами в нежных тонах,/catalog/bukety/sumochka-s-tsvetami-v-nezhnykh-tonakh/,от 1 600 ₽,/upload/iblock/427/hrqkjyrvvq8v93h6nrxk27cxb4shmziy.jpg
Букет из крупных гербер,/catalog/bukety/buket-iz-krupnykh-gerber/,от 1 000 ₽,/upload/iblock/e24/kq7apwey5idz0ekme9tbbuwaaptxq0ng.jpg
"Букет ""Фреш""",/catalog/bukety/buket-fresh/,от 3 000 ₽,/upload/iblock/67d/naqmemhace1zttw8ct7ngaxz59an43pz.jpg
"Букет ""Спешел""",/catalog/bukety/buket-speshel/,от 1 750 ₽,/upload/iblock/5c7/fk7req24m2ukq8hu519cba2kzaygx9cu.jpg
"Букет ""Топ""",/catalog/bukety/buket-top/,от 1 500 ₽,/upload/iblock/bdb/21oyv3s9rxxn52jilrkpw7e48mclkqvs.JPG
"Букет ""Трио-рио""",/catalog/bukety/buket-trio-rio/,от 2 000 ₽,/upload/iblock/c55/i2upvfetd0bf22w0glwexkgq2qz2d2qn.jpg
"Букет ""Альба""",/catalog/bukety/buket-alba/,от 2 500 ₽,/upload/iblock/fbd/5mtzobeh6naek0skam5ssiwfb0eo3p3q.jpg
"Букет невесты ""Моя нежность""",/catalog/bukety/buket-nevesty-moya-nezhnost/,от 6 500 ₽,/upload/iblock/a9e/3ho6h0o8ssy0176qpvcvec64s4zrw70w.jpg
"Цветы в коробке ""Нюд""",/catalog/bukety/tsvety-v-korobke-nyud/,от 3 000 ₽,/upload/iblock/b19/b192df044e2a540c7efc64d891a612a0.jpg
Букет в коробке авторский №5,/catalog/bukety/buket-v-korobke-avtorskiy-5/,от 6 000 ₽,/upload/iblock/83e/83e8ccd596fdc3ff05eab46fa2eb1274.jpg
Букет Краски,/catalog/bukety/buket-kraski/,от 3 300 ₽,/upload/iblock/6b4/73a3q53wc6hfd6yxtlr9n4hjtpbjenob.jpeg
Букет Аэрография,/catalog/bukety/buket-aerografiya/,от 5 500 ₽,/upload/iblock/0f2/y7t2w48zmr9v2r9cg9opf94l6euh4dbp.webp
Букет Сахар,/catalog/bukety/buket-sakhar/,от 2 950 ₽,/upload/iblock/aef/fx7asuyl8lcz0u84y1runfk6rgwn6via.webp
Букет из 15 лилий,/catalog/bukety/buket-iz-15-liliy/,от 6 950 ₽,/upload/iblock/d2d/vfj3df9mlq1egqanjzpheultkwxfdi71.webp
Букет из 7 лилий,/catalog/bukety/buket-iz-7-liliy/,от 3 500 ₽,/upload/iblock/b33/de5ab2oezgqe5m8gjq9omsx0rvnleh9p.webp
Букет Гранд,/catalog/bukety/buket-grand/,от 3 950 ₽,/upload/iblock/9ed/wifanyqxkuk1re4q4oa23uhyi7frnt49.webp
"Букет невесты ""Лоретт""",/catalog/bukety/buket-nevesty-lorett/,от 6 500 ₽,/upload/iblock/702/zltkrzvva52k99a2785uukd04e1c5ngv.jpg
Букет невесты Аннет,/catalog/bukety/buket-nevesty-annet/,от 5 000 ₽,/upload/iblock/e96/y1o1rqyil0ok1148outwkhyoiguy8yh9.jpg
Букет невесты Агата,/catalog/bukety/buket-nevesty-agata/,от 5 000 ₽,/upload/iblock/613/s2hmsjvx0kravp6w81kw0tdzpzo8c96p.jpg
Букет цветов Красный бархат,/catalog/bukety/buket-tsvetov-krasnyy-barkhat/,от 7 000 ₽,/upload/iblock/852/kgh5zkym2x0b8qiprtm17jt4avv1inr9.webp
"Букет невесты ""Моника""",/catalog/bukety/buket-nevesty-monika/,от 5 000 ₽,/upload/iblock/368/z0fwmmw5v5f4pr636agv5bzs5qddgrhp.JPG
